date,from_station_name,trip_count
2019-12-17,Canal St & Adams St,153
2019-12-17,Clinton St & Madison St,144
2019-12-17,Clinton St & Washington Blvd,124
2019-12-18,Canal St & Adams St,123
2019-12-18,Clinton St & Madison St,115
2019-12-18,Clinton St & Washington Blvd,94
2019-12-19,Canal St & Adams St,133
2019-12-19,Clinton St & Madison St,123
2019-12-19,Clinton St & Washington Blvd,95
2019-12-20,Canal St & Adams St,131
2019-12-20,Clinton St & Washington Blvd,109
2019-12-20,Clinton St & Madison St,94
2019-12-21,Streeter Dr & Grand Ave,63
2019-12-21,Kingsbury St & Kinzie St,47
2019-12-21,Wells St & Concord Ln,46
2019-12-22,Shedd Aquarium,87
2019-12-22,Lake Shore Dr & Monroe St,79
2019-12-22,Streeter Dr & Grand Ave,70
2019-12-23,Canal St & Adams St,109
2019-12-23,Clinton St & Madison St,87
2019-12-23,Clinton St & Washington Blvd,78
2019-12-24,Streeter Dr & Grand Ave,38
2019-12-24,Clinton St & Washington Blvd,38
2019-12-24,Daley Center Plaza,34
2019-12-25,Streeter Dr & Grand Ave,136
2019-12-25,Millennium Park,76
2019-12-25,Lake Shore Dr & Monroe St,64
2019-12-26,Streeter Dr & Grand Ave,165
2019-12-26,Lake Shore Dr & Monroe St,104
2019-12-26,Columbus Dr & Randolph St,88
2019-12-27,Streeter Dr & Grand Ave,67
2019-12-27,Canal St & Adams St,61
2019-12-27,Clinton St & Washington Blvd,61
2019-12-28,Lake Shore Dr & Monroe St,55
2019-12-28,Kingsbury St & Kinzie St,39
2019-12-28,Streeter Dr & Grand Ave,29
2019-12-29,Lake Shore Dr & Monroe St,129
2019-12-29,Streeter Dr & Grand Ave,100
2019-12-29,Shedd Aquarium,69
2019-12-30,Canal St & Adams St,74
2019-12-30,Clinton St & Washington Blvd,55
2019-12-30,Clinton St & Madison St,50
2019-12-31,Clinton St & Washington Blvd,36
2019-12-31,Kingsbury St & Kinzie St,30
2019-12-31,Columbus Dr & Randolph St,28
